domain,scale,estimate,se,ci_lower,ci_upper,estimate_display
Nutrition score,0-2,0.2191480762130229,0.007960351547278137,0.20354607387608006,0.23475007854996574,0.22 (0.20-0.23)
Reproductive health score,0-4,0.837326358890963,0.013770664359551014,0.8103363527030536,0.8643163650788723,0.84 (0.81-0.86)
Access/autonomy score,0-3,1.1053605797960837,0.01550208249172398,1.0749770564269359,1.1357441031652316,1.11 (1.07-1.14)
Total syndemic score,0-9,1.6468651426987593,0.0216816771816944,1.6043698362982144,1.6893604490993042,1.65 (1.60-1.69)
Any nutrition risk,0/1,0.2068278122622846,0.007421195855405206,0.1922825356634725,0.22137308886109672,20.7% (19.2-22.1)
Any reproductive risk,0/1,0.5760160328411226,0.007181526244419607,0.561940500048031,0.5900915656342142,57.6% (56.2-59.0)
Any access/autonomy risk,0/1,0.7382118020796836,0.007190821862541794,0.7241180502098585,0.7523055539495087,73.8% (72.4-75.2)
