division,very_high_burden_ge6,se,prevalence_pct,se_pct,ci_lower,ci_upper,prev_ci
Sylhet,0.023626965291897596,0.004248460288739935,2.3626965291897597,0.4248460288739935,1.5299983125967325,3.195394745782787,2.4% (1.5-3.2)
Mymensingh,0.018176161260414995,0.004189764741345929,1.8176161260414996,0.41897647413459294,0.9964222367376975,2.638810015345302,1.8% (1.0-2.6)
Rajshahi,0.01159422112419601,0.004283186778387192,1.159422112419601,0.4283186778387192,0.31991750385571127,1.9989267209834907,1.2% (0.3-2.0)
Chattogram,0.010738155136846096,0.0029629867403252732,1.0738155136846097,0.2962986740325273,0.4930701125808562,1.6545609147883633,1.1% (0.5-1.7)
Rangpur,0.010095364235772293,0.0032560978005244817,1.0095364235772293,0.32560978005244817,0.3713412546744309,1.6477315924800275,1.0% (0.4-1.6)
Barishal,0.009451435761692039,0.00337470553813887,0.9451435761692039,0.33747055381388696,0.2837012906939854,1.6065858616444224,0.9% (0.3-1.6)
Khulna,0.0035869630251099223,0.001640572296618434,0.3586963025109922,0.1640572296618434,0.037144132373779115,0.6802484726482053,0.4% (0.0-0.7)
Dhaka,0.002869536930775214,0.001259478193235808,0.2869536930775214,0.12594781932358082,0.040095967203302996,0.5338114189517398,0.3% (0.0-0.5)
