clustering_test,observed_pct,expected_pct_under_independence,observed_expected_ratio,absolute_excess_pct,ci_lower_pct,ci_upper_pct,n_complete_domain_records,result
Nutrition + reproductive,13.705808917517151,12.513282721451368,1.0953008273377736,1.1925261960657823,12.456401332128769,14.955216502905532,3881,13.7% observed vs 12.5% expected; O/E 1.10
Nutrition + access/autonomy,16.863744589724565,15.308156719220436,1.1016182352347479,1.5555878705041297,15.50194298586704,18.225546193582094,3881,16.9% observed vs 15.3% expected; O/E 1.10
Reproductive + access/autonomy,47.162880082186014,44.779194832440524,1.0532319810274617,2.3836852497454872,45.08182782599946,49.243932338372574,3881,47.2% observed vs 44.8% expected; O/E 1.05
All three domains,11.38944674896065,9.261582902060274,1.2297516385052305,2.1278638469003757,10.203063331173711,12.575830166747586,3881,11.4% observed vs 9.3% expected; O/E 1.23
