division,high_burden_ge4,se,prevalence_pct,se_pct,ci_lower,ci_upper,prev_ci
Sylhet,0.17304594097729065,0.015766013195084673,17.304594097729066,1.5766013195084674,14.214455511492469,20.39473268396566,17.3% (14.2-20.4)
Mymensingh,0.14996483939802607,0.012814924195307683,14.996483939802607,1.2814924195307684,12.4847587975223,17.508209082082914,15.0% (12.5-17.5)
Chattogram,0.13644227089774255,0.015405143351644555,13.644227089774255,1.5405143351644555,10.624818992851921,16.663635186696588,13.6% (10.6-16.7)
Barishal,0.1312582455991096,0.013708152332330185,13.12582455991096,1.3708152332330186,10.439026702774244,15.812622417047676,13.1% (10.4-15.8)
Rangpur,0.12239678708773648,0.011448474900455013,12.239678708773647,1.1448474900455012,9.995777628284465,14.48357978926283,12.2% (10.0-14.5)
Rajshahi,0.1044418901218277,0.01144962979864129,10.44418901218277,1.144962979864129,8.200061571649076,12.688316452716464,10.4% (8.2-12.7)
Khulna,0.08351322820753061,0.00999991951987892,8.351322820753062,0.999991951987892,6.391338594856793,10.311307046649329,8.4% (6.4-10.3)
Dhaka,0.07919243427693293,0.007872990522986735,7.919243427693293,0.7872990522986736,6.376137285187893,9.462349570198693,7.9% (6.4-9.5)
