"wealth","syndemic_score","se","ci_lower","ci_upper","mean_ci"
"Poorest",2.09562569212787,0.0384347397612034,2.02029360219591,2.17095778205983,"2.10 (2.02–2.17)"
"Poorer",1.85037994960474,0.043636557257955,1.76485229737915,1.93590760183034,"1.85 (1.76–1.94)"
"Middle",1.69195210777933,0.0329931034361302,1.62728562504451,1.75661859051414,"1.69 (1.63–1.76)"
"Richer",1.47259697388201,0.0314098311377241,1.41103370485208,1.53416024291195,"1.47 (1.41–1.53)"
"Richest",1.07153155114104,0.0310823325581568,1.01061017932706,1.13245292295503,"1.07 (1.01–1.13)"
