"term","coefficient","std_error","OR","z_value","p_value","or_ci"
"wealthPoorer:residenceRural",0.218790004523934,0.349752375713735,1.24456989519639,0.625556878855939,0.531605629904029,"1.24 (0.63–2.47)"
"wealthMiddle:residenceRural",0.115579167236737,0.293793032877688,1.12252337810471,0.393403363261017,0.694021585989091,"1.12 (0.63–2.00)"
"wealthRicher:residenceRural",0.140986676855298,0.290592341026345,1.15140930748974,0.485169968201317,0.627555783254544,"1.15 (0.65–2.04)"
"wealthRichest:residenceRural",0.208853489368922,0.294031138177616,1.23226444546255,0.710310787705618,0.477511431595831,"1.23 (0.69–2.19)"
