risk_factor,underweight,stunted_height,high_parity,adolescent_birth,short_interval,home_delivery,distance_problem,low_autonomy,inadequate_anc
underweight,1,0.009334521461557574,-0.047947142377597785,0.033203427762983316,0.049186042978728355,0.09635283119115774,-0.003380682486139701,0.03547565546895038,0.1033838765408135
stunted_height,0.009334521461557574,1,0.05174889860056243,0.00860654069350908,0.006403002435770348,0.019192118289660276,0.011059955654712314,-0.017989017945187032,0.04341380105243381
high_parity,-0.047947142377597785,0.05174889860056243,1,0.14983127928364298,0.020427022867279595,0.20051508103663795,0.03937715927248234,-0.03149685737544707,0.09509749949493222
adolescent_birth,0.033203427762983316,0.00860654069350908,0.14983127928364298,1,-0.04696902647338627,0.11509090775265188,0.004512389884460557,0.021408178915089074,0.10358237548456685
short_interval,0.049186042978728355,0.006403002435770348,0.020427022867279595,-0.04696902647338627,1,0.05854850206949961,-0.007161977071432884,0.020997326243139963,0.0471015513138256
home_delivery,0.09635283119115774,0.019192118289660276,0.20051508103663795,0.11509090775265188,0.05854850206949961,1,0.07379780268396827,0.03778980759468862,0.29155985297130893
distance_problem,-0.003380682486139701,0.011059955654712314,0.03937715927248234,0.004512389884460557,-0.007161977071432884,0.07379780268396827,1,0.03405715597928076,0.07877490099534659
low_autonomy,0.03547565546895038,-0.017989017945187032,-0.03149685737544707,0.021408178915089074,0.020997326243139963,0.03778980759468862,0.03405715597928076,1,0.06847889845046491
inadequate_anc,0.1033838765408135,0.04341380105243381,0.09509749949493222,0.10358237548456685,0.0471015513138256,0.29155985297130893,0.07877490099534659,0.06847889845046491,1
